mision;activity;time;robot
mision 21;T_1done;2023-09-07 21:29:31;0
mision 22;T_0Busy;2023-09-07 21:28:20;4
mision 22;T_0Done;2023-09-07 21:28:25;4
mision 22;T_1Busy;2023-09-07 21:28:37;4
mision 22;T_1Done;2023-09-07 21:28:42;4
mision 22;T_2ocupied;2023-09-07 21:28:45;0
mision 22;T_2waiting;2023-09-07 21:28:45;0
mision 22;T_3ocupied;2023-09-07 21:28:47;5
mision 22;T_3waiting;2023-09-07 21:28:47;5
mision 22;T_2done;2023-09-07 21:28:52;0
mision 22;T_3done;2023-09-07 21:28:52;0
mision 22;T_4Busy;2023-09-07 21:30:11;3
mision 22;T_4Done;2023-09-07 21:30:16;3
mision 22;T_5Busy;2023-09-07 21:30:31;1
mision 22;T_5Done;2023-09-07 21:30:36;1
mision 22;T_1ocupied;2023-09-07 21:30:42;4
mision 22;T_1waiting;2023-09-07 21:30:42;4
mision 22;T_0ocupied;2023-09-07 21:30:46;2
mision 22;T_0waiting;2023-09-07 21:30:46;2
mision 22;T_0done;2023-09-07 21:30:51;0
mision 22;T_1done;2023-09-07 21:30:51;0
mision 23;T_0Busy;2023-09-07 21:28:09;5
mision 23;T_0Done;2023-09-07 21:28:14;5
mision 23;T_1Busy;2023-09-07 21:28:36;1
mision 23;T_1Done;2023-09-07 21:28:41;1
mision 23;T_3ocupied;2023-09-07 21:28:53;4
mision 23;T_3waiting;2023-09-07 21:28:53;4
mision 23;T_2ocupied;2023-09-07 21:29:14;2
mision 23;T_2waiting;2023-09-07 21:29:14;2
mision 23;T_2done;2023-09-07 21:29:19;0
mision 23;T_3done;2023-09-07 21:29:19;0
mision 23;T_4Busy;2023-09-07 21:29:29;1
mision 23;T_4Done;2023-09-07 21:29:34;1
mision 23;T_5Busy;2023-09-07 21:29:43;3
mision 23;T_5Done;2023-09-07 21:29:48;3
mision 23;T_1ocupied;2023-09-07 21:29:58;4
mision 23;T_1waiting;2023-09-07 21:29:58;4
mision 23;T_0ocupied;2023-09-07 21:30:21;0
mision 23;T_0waiting;2023-09-07 21:30:21;0
mision 23;T_0done;2023-09-07 21:30:26;0
mision 23;T_1done;2023-09-07 21:30:26;0
mision 24;T_0Busy;2023-09-07 22:10:59;3
mision 24;T_0Done;2023-09-07 22:11:04;3
mision 24;T_1Busy;2023-09-07 22:11:13;2
mision 24;T_1Done;2023-09-07 22:11:18;2
mision 24;T_2ocupied;2023-09-07 22:11:23;0
mision 24;T_2waiting;2023-09-07 22:11:23;0
mision 24;T_3ocupied;2023-09-07 22:11:55;3
mision 24;T_3waiting;2023-09-07 22:11:55;3
mision 24;T_2done;2023-09-07 22:12:00;0
mision 24;T_3done;2023-09-07 22:12:00;0
mision 24;T_4Busy;2023-09-07 22:13:01;4
mision 24;T_4Done;2023-09-07 22:13:06;4
mision 24;T_5Busy;2023-09-07 22:13:11;5
mision 24;T_5Done;2023-09-07 22:13:16;5
mision 24;T_1ocupied;2023-09-07 22:13:22;1
mision 24;T_1waiting;2023-09-07 22:13:22;1
mision 24;T_0ocupied;2023-09-07 22:13:26;3
mision 24;T_0waiting;2023-09-07 22:13:26;3
mision 24;T_0done;2023-09-07 22:13:31;0
mision 24;T_1done;2023-09-07 22:13:31;0
mision 25;T_0Busy;2023-09-07 22:11:06;2
mision 25;T_0Done;2023-09-07 22:11:11;2
mision 25;T_1Busy;2023-09-07 22:11:23;0
mision 25;T_1Done;2023-09-07 22:11:28;0
mision 25;T_2ocupied;2023-09-07 22:11:34;2
mision 25;T_2waiting;2023-09-07 22:11:34;2
mision 25;T_3ocupied;2023-09-07 22:12:37;0
mision 25;T_3waiting;2023-09-07 22:12:37;0
mision 25;T_2done;2023-09-07 22:12:42;0
mision 25;T_3done;2023-09-07 22:12:42;0
mision 25;T_4Busy;2023-09-07 22:13:21;5
mision 25;T_4Done;2023-09-07 22:13:26;5
mision 25;T_5Busy;2023-09-07 22:14:55;2
mision 25;T_5Done;2023-09-07 22:15:00;2
mision 25;T_1ocupied;2023-09-07 22:15:09;1
mision 25;T_1waiting;2023-09-07 22:15:09;1
mision 25;T_0ocupied;2023-09-07 22:15:17;2
mision 25;T_0waiting;2023-09-07 22:15:17;2
mision 25;T_0done;2023-09-07 22:15:21;0
mision 25;T_1done;2023-09-07 22:15:21;0
mision 26;T_0Busy;2023-09-07 21:27:25;4
mision 26;T_0Done;2023-09-07 21:27:30;4
